year,crop_code,crop_name,gross_value_survey_usd_ac,operating_cost_usd_ac,return_above_operating_survey_usd_ac,total_production_cost_usd_ac,return_above_total_survey_usd_ac,price_usd_bu,survey_yield_bu_ac
2004,MZ,Maize,362.35,175.94,186.41,377.5,-15.15,2.13,169
2004,SB,Soybean,253.46,81.77,171.69,249.01,4.45,5.6,45
2004,SG,Sorghum,118.26,93.24,25.02,225.93,-107.67,1.76,63
2004,WT,Wheat,142.48,70.82,71.66,190.6,-48.12,3.44,40
2005,MZ,Maize,260.43,186.37,74.06,386.88,-126.45,1.74,149
2005,SB,Soybean,264.57,90.21,174.36,264.39,0.18,5.68,47
2005,SG,Sorghum,115.34,107.74,7.6,247.44,-132.1,1.71,63
2005,WT,Wheat,132.68,79.45,53.23,207.45,-74.77,3.17,40
2006,MZ,Maize,351.87,205.98,145.89,409.74,-57.87,2.54,138
2006,SB,Soybean,254.84,93.41,161.43,278.09,-23.25,5.54,46
2006,SG,Sorghum,133.08,114.12,18.96,257.53,-124.45,2.95,43
2006,WT,Wheat,144.01,85.01,59,216.78,-72.77,4.12,33
2007,MZ,Maize,468.94,228.99,239.95,443.97,24.97,3.27,143
2007,SB,Soybean,357.75,106.63,251.12,297.05,60.7,7.95,45
2007,SG,Sorghum,246.09,128.7,117.39,279.95,-33.86,3.46,68
2007,WT,Wheat,204.11,93.03,111.08,231.99,-27.88,5.25,37
2008,MZ,Maize,629.36,295.69,333.67,529.38,99.98,4.36,144
2008,SB,Soybean,450.64,127.79,322.85,334.69,115.95,10.48,43
2008,SG,Sorghum,251.7,156.4,95.3,320.33,-68.63,4.07,59
2008,WT,Wheat,333.83,125.68,208.15,277.4,56.43,7.86,41
2009,MZ,Maize,561.22,295.01,266.21,550.7,10.52,3.59,156
2009,SB,Soybean,437.1,130.49,306.61,358.27,78.83,9.3,47
2009,SG,Sorghum,192.92,139.82,53.1,313.46,-120.54,3.06,60
2009,WT,Wheat,228.7,112.92,115.78,263.24,-34.54,5.54,40
2010,MZ,Maize,689.39,286.41,402.98,550.2,139.19,4.33,159
2010,SB,Soybean,449.32,131.89,317.43,364.09,85.23,9.56,47
2010,SG,Sorghum,302.25,141.71,160.54,319.13,-16.88,4.37,67
2010,WT,Wheat,222.24,102.78,119.46,257.4,-35.17,4.75,45
2011,MZ,Maize,837.77,332.33,505.44,613.46,224.31,5.73,146
2011,SB,Soybean,525.36,136.87,388.49,383.04,142.32,11.94,44
2011,SG,Sorghum,268.66,132.47,136.19,285.61,-16.95,6.02,44
2011,WT,Wheat,285.71,121.89,163.82,287.57,-1.86,7.35,38
2012,MZ,Maize,802.55,349.59,452.96,653.57,148.98,6.79,118
2012,SB,Soybean,596.82,172.29,424.53,437.59,159.23,14.21,42
2012,SG,Sorghum,242.88,142.85,100.03,307.54,-64.66,6.63,36
2012,WT,Wheat,342.7,126.72,215.98,302,40.7,7.58,44
2013,MZ,Maize,720.51,355.6,364.91,676.45,44.06,4.61,156
2013,SB,Soybean,571.04,176.63,394.41,458.31,112.73,13.28,43
2013,SG,Sorghum,185.82,143.64,42.18,315.96,-130.14,4.26,43
2013,WT,Wheat,286.63,128.15,158.48,312.03,-25.4,7.09,39
2014,MZ,Maize,603.18,356.92,246.26,689.8,-86.62,3.54,170
2014,SB,Soybean,522.24,176.79,345.45,466.72,55.52,10.88,48
2014,SG,Sorghum,191.45,142.65,48.8,320.56,-129.11,3.52,53
2014,WT,Wheat,247.53,126.33,121.2,316.28,-68.75,6.44,37
2015,MZ,Maize,612.6,333.8,278.8,675.33,-62.73,3.66,167
2015,SB,Soybean,430.56,166.97,263.59,463.3,-32.74,8.97,48
2015,SG,Sorghum,220.08,132.58,87.5,313.9,-93.82,3.57,60
2015,WT,Wheat,213.9,116.35,97.55,310.5,-96.6,5.12,40
2016,MZ,Maize,603.92,340.55,263.37,678.48,-74.56,3.29,183
